locus	assembly	family	sub_subfamily	sub_subfamily_confident	LF_class	LF_partner	LF_partner_sp	LF_partner_fam	LF_pid	LF_aln	LF_bits	RF_class	RF_partner	RF_partner_sp	RF_partner_fam	RF_pid	RF_aln	RF_bits	has_ortholog	both_flanks_orthologous	partner_family_vs_self
L308	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L309	nai	CLsat1	CLsat1.4	N	truncated							truncated							N	N	
L310	nai	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L311	nai	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L312	nai	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L313.1	nai	CLsat3	CLsat3.2	Y	lowcomplex							satellite							N	N	
L313.2	nai	CLsat1	CLsat1.1	N	satellite							truncated							N	N	
L314	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L315	nai	CLsat1	CLsat1.1	N	truncated							lowcomplex							N	N	
L316	nai	CLsat1	CLsat1.1	Y	lowcomplex							truncated							N	N	
L317	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L318	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L319	nai	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L320	nai	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L321	nai	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L322	nai	CLsat1	CLsat1.2	N	lowcomplex							lowcomplex							N	N	
L323	nai	CLsat1	CLsat1.1	N	lowcomplex							lowcomplex							N	N	
L324	nai	CLsat1	CLsat1.1	N	lowcomplex							truncated							N	N	
L325	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L326	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L327	nai	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L328	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L329	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L330	nai	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L331	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L332	nai	CLsat1	CLsat1.4	N	truncated							telomeric							N	N	
L333	nai	CLsat1	CLsat1.2	Y	telomeric							telomeric							N	N	
L334	nai	CLsat1	CLsat1.4	Y	telomeric							truncated							N	N	
L335	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L336	nai	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L337	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L338	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L339	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L340	nai	CLsat1	CLsat1.4	N	truncated							truncated							N	N	
L341	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L342	nai	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L343	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L344	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L345	nai	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L346	nai	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L347	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L348	nai	CLsat1	CLsat1.4	N	truncated							truncated							N	N	
L349	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L350	nai	CLsat1	CLsat1.2	Y	satellite							truncated							N	N	
L351	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L352	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L353	nai	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L354	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L355	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L356	nai	CLsat1	CLsat1.2	N	truncated							unique	L470	unp	CLsat1	100.0	600	648.7	Y	Y	SAME
L357	nai	CLsat1	CLsat1.2	N	lowcomplex							truncated							N	N	
L358	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L359	nai	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L360	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L361	nai	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L362	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L363	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L364	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L365	unm	CLsat1	CLsat1.1	Y	truncated							unique	L211	nai	CLsat1	100.0	600	542.3	Y	N	SAME
L366	unm	CLsat1	CLsat1.3	N	unique	L212	nai	CLsat1	100.0	600	618.1	lowcomplex							Y	N	SAME
L367	unm	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L368	unm	CLsat1	CLsat1.1	Y	lowcomplex							lowcomplex							N	N	
L369	unm	CLsat3	CLsat3.1	N	lowcomplex							unique	L196	nai	CLsat3	100.0	600	403.7	Y	N	SAME
L370.2	unm	CLsat1	CLsat1.1	N	lowcomplex							lowcomplex							N	N	
L371	unm	CLsat1	CLsat1.1	Y	lowcomplex							telomeric							N	N	
L372.1	unm	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L372.2	unm	CLsat1	CLsat1.5	Y	satellite							unique							N	N	
L373	unm	CLsat1	CLsat1.1	Y	unique							lowcomplex							N	N	
L374	unm	CLsat1	CLsat1.3	N	truncated							lowcomplex							N	N	
L375.1	unm	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L375.2	unm	CLsat1	CLsat1.5	Y	satellite							lowcomplex							N	N	
L376.1	unm	CLsat3	CLsat3.2	Y	lowcomplex							satellite							N	N	
L376.2	unm	CLsat1	CLsat1.1	N	satellite							lowcomplex							N	N	
L377	unm	CLsat3	CLsat3.1	Y	unique	L200	nai	CLsat3	100.0	600	593.4	lowcomplex							Y	N	SAME
L378	unm	CLsat3	CLsat3.1	Y	unique	L201	nai	CLsat3	100.0	600	650.7	lowcomplex							Y	N	SAME
L379	unm	CLsat1	CLsat1.1	N	lowcomplex							lowcomplex							N	N	
L380	unm	CLsat1	CLsat1.1	N	telomeric							lowcomplex							N	N	
L381.1	unm	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L381.2	unm	CLsat1	CLsat1.1	N	satellite							lowcomplex							N	N	
L382.1	unm	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L382.2	unm	CLsat1	CLsat1.1	N	satellite							lowcomplex							N	N	
L383.1	unm	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L383.2	unm	CLsat1	CLsat1.5	Y	satellite							lowcomplex							N	N	
L384	unm	CLsat1	CLsat1.1	Y	telomeric							lowcomplex							N	N	
L385.2	unm	CLsat1	CLsat1.1	Y	lowcomplex							lowcomplex							N	N	
L386	unm	CLsat1	CLsat1.1	Y	lowcomplex							lowcomplex							N	N	
L387	unm	CLsat1	CLsat1.1	N	lowcomplex							lowcomplex							N	N	
L388	unm	CLsat1	CLsat1.2	N	lowcomplex							lowcomplex							N	N	
L389	unm	CLsat3	CLsat3.2	Y	truncated							lowcomplex							N	N	
L390.1	unm	CLsat3	CLsat3.1	N	telomeric							satellite							N	N	
L390.2	unm	CLsat1	CLsat1.1	Y	satellite							truncated							N	N	
L391.1	unm	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L391.2	unm	CLsat1	CLsat1.5	Y	satellite							truncated							N	N	
L392.1	unm	CLsat3	CLsat3.1	Y	lowcomplex							satellite							N	N	
L392.2	unm	CLsat1	CLsat1.1	Y	satellite							lowcomplex							N	N	
L393	unm	CLsat1	CLsat1.1	N	satellite							truncated							N	N	
L394	unm	CLsat1	CLsat1.1	N	telomeric							truncated							N	N	
L395	unm	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L396	unm	CLsat1	CLsat1.1	N	unique	L270	nai	CLsat1	100.0	600	666.9	truncated							Y	N	SAME
L397	unm	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L398	unm	CLsat1	CLsat1.4	Y	truncated							truncated							N	N	
L399	unp	CLsat1	CLsat1.2	Y	telomeric							lowcomplex							N	N	
L540	unp	CLsat1	CLsat1.2	Y	telomeric							lowcomplex							N	N	
L400	unp	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L401	unp	CLsat1	CLsat1.2	Y	telomeric							telomeric							N	N	
L402	unp	CLsat1	CLsat1.4	Y	telomeric							lowcomplex							N	N	
L403	unp	CLsat1	CLsat1.3	N	telomeric							lowcomplex							N	N	
L404	unp	CLsat1	CLsat1.4	Y	lowcomplex							telomeric							N	N	
L405	unp	CLsat1	CLsat1.4	Y	telomeric							truncated							N	N	
L406	unp	CLsat1	CLsat1.2	Y	lowcomplex							lowcomplex							N	N	
L407	unp	CLsat1	CLsat1.2	N	unique	L141	mix	CLsat2	83.7	227	70.1	lowcomplex							Y	Y	DIFFERENT
L408	unp	CLsat1	CLsat1.4	Y	lowcomplex							telomeric							N	N	
L409	unp	CLsat1	CLsat1.4	Y	lowcomplex							unique	L287	nai	CLsat1	100.0	600	592.5	Y	N	SAME
L410	unp	CLsat4	CLsat4	Y	lowcomplex							lowcomplex							N	N	
L411	unp	CLsat4	CLsat4	Y	lowcomplex							telomeric							N	N	
L412	unp	CLsat1	CLsat1.4	N	telomeric							truncated							N	N	
L413	unp	CLsat1	CLsat1.1	N	lowcomplex							truncated							N	N	
L414	unp	CLsat1	CLsat1.2	N	telomeric							telomeric							N	N	
L415	unp	CLsat1	CLsat1.2	Y	telomeric							telomeric							N	N	
L416	unp	CLsat1	CLsat1.2	Y	lowcomplex							unique	L141	mix	CLsat2	85.7	218	111.1	Y	N	DIFFERENT
L417	unp	CLsat1	CLsat1.4	Y	lowcomplex							telomeric							N	N	
L418	unp	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L419	unp	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L420.2	unp	CLsat1	CLsat1.2	Y	unique	L192	nai	CLsat1	100.0	597	532.9	truncated							Y	N	SAME
L421	unp	CLsat1	CLsat1.1	N	satellite							lowcomplex							N	N	
L422	unp	CLsat1	CLsat1.4	N	lowcomplex							unique	L208	nai	CLsat1	100.0	600	611.5	Y	Y	SAME
L423	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L424.1	unp	CLsat1	CLsat1.2	Y	truncated							satellite							N	N	
L424.2	unp	CLsat1	CLsat1.4	N	satellite							satellite							N	N	
L424.3	unp	CLsat1	CLsat1.4	N	satellite							lowcomplex							N	N	
L425	unp	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L426	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L427	unp	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L428	unp	CLsat1	CLsat1.2	Y	lowcomplex							unique	L208	nai	CLsat1	100.0	600	609.0	Y	Y	SAME
L429	unp	CLsat1	CLsat1.2	Y	lowcomplex							unique	L208	nai	CLsat1	100.0	600	611.7	Y	Y	SAME
L430	unp	CLsat1	CLsat1.2	Y	lowcomplex							unique	L208	nai	CLsat1	100.0	600	611.8	Y	Y	SAME
L431	unp	CLsat1	CLsat1.2	Y	lowcomplex							unique	L208	nai	CLsat1	100.0	600	589.3	Y	Y	SAME
L432	unp	CLsat1	CLsat1.2	Y	lowcomplex							unique	L208	nai	CLsat1	99.8	600	629.5	Y	Y	SAME
L433	unp	CLsat1	CLsat1.2	Y	lowcomplex							unique	L208	nai	CLsat1	100.0	600	616.9	Y	Y	SAME
L434	unp	CLsat1	CLsat1.2	Y	lowcomplex							unique	L208	nai	CLsat1	100.0	600	613.6	Y	Y	SAME
L435	unp	CLsat1	CLsat1.2	Y	lowcomplex							lowcomplex							N	N	
L436	unp	CLsat1	CLsat1.4	N	lowcomplex							lowcomplex							N	N	
L437	unp	CLsat1	CLsat1.3	N	unique							lowcomplex							N	N	
L438	unp	CLsat1	CLsat1.2	N	lowcomplex							satellite							N	N	
L439	unp	CLsat1	CLsat1.3	N	satellite							telomeric							N	N	
L440	unp	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L441	unp	CLsat4	CLsat4	Y	unique	L183.2	nai	CLsat4	100.0	600	486.0	telomeric							Y	Y	SAME
L442	unp	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L443	unp	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L444	unp	CLsat1	CLsat1.2	Y	telomeric							unique	L73	mix	CLsat2	98.3	600	569.0	Y	Y	DIFFERENT
L445	unp	CLsat1	CLsat1.2	Y	lowcomplex							telomeric							N	N	
L446	unp	CLsat1	CLsat1.4	Y	telomeric							truncated							N	N	
L447	unp	CLsat1	CLsat1.4	Y	telomeric							unique	L192	nai	CLsat1	100.0	600	666.2	Y	N	SAME
L448	unp	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L449	unp	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L450	unp	CLsat1	CLsat1.2	Y	truncated							lowcomplex							N	N	
L451	unp	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L452	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L453	unp	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L454	unp	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L455	unp	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L456	unp	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L457	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L458	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L459	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L460	unp	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L461	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L462	unp	CLsat1	CLsat1.2	N	lowcomplex							truncated							N	N	
L463	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L464	unp	CLsat1	CLsat1.2	Y	satellite							truncated							N	N	
L465	unp	CLsat1	CLsat1.4	Y	lowcomplex							telomeric							N	N	
L466	unp	CLsat1	CLsat1.4	Y	telomeric							truncated							N	N	
L467	unp	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L468	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L469	unp	CLsat1	CLsat1.2	Y	truncated							lowcomplex							N	N	
L470	unp	CLsat1	CLsat1.2	N	unique	L356	nai	CLsat1	100.0	600	641.8	truncated							Y	Y	SAME
L471	unp	CLsat1	CLsat1.4	Y	truncated							unique	L356	nai	CLsat1	99.0	600	605.8	Y	N	SAME
L472	unp	CLsat1	CLsat1.2	N	unique	L183.2	nai	CLsat4	97.4	585	443.9	truncated							Y	Y	DIFFERENT
L473	unp	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L474	unp	CLsat1	CLsat1.4	N	truncated							telomeric							N	N	
L475	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L476	unp	CLsat1	CLsat1.4	N	truncated							unique	L73	mix	CLsat2	98.8	600	555.6	Y	Y	DIFFERENT
L477	unp	CLsat1	CLsat1.2	Y	lowcomplex							unique	L299	nai	CLsat1	100.0	600	617.4	Y	N	SAME
L478	unp	CLsat1	CLsat1.2	N	unique	L300	nai	CLsat1	100.0	600	698.0	unique	L73	mix	CLsat2	98.8	600	597.1	Y	Y	SAME
L479	unp	CLsat1	CLsat1.2	Y	truncated							lowcomplex							N	N	
L480	unp	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L481	unp	CLsat1	CLsat1.2	Y	lowcomplex							lowcomplex							N	N	
L482	unp	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L483	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L484	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L485	unp	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L486	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L487	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L488	unp	CLsat1	CLsat1.2	Y	truncated							lowcomplex							N	N	
L489	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L490	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L491	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L492	unp	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L493.1	val	CLsat3	CLsat3.2	N	telomeric							satellite							N	N	
L493.2	val	CLsat1	CLsat1.1	Y	satellite							lowcomplex							N	N	
L494	val	CLsat3	CLsat3.2	Y	lowcomplex							lowcomplex							N	N	
L495.1	val	CLsat3	CLsat3.1	Y	telomeric							satellite							N	N	
L495.2	val	CLsat1	CLsat1.3	N	satellite							unique	L35	arm	CLsat1	100.0	600	612.8	Y	N	SAME
L496	val	CLsat1	CLsat1.1	Y	lowcomplex							lowcomplex							N	N	
L497.1	val	CLsat3	CLsat3.1	Y	telomeric							satellite							N	N	
L497.2	val	CLsat1	CLsat1.3	N	satellite							lowcomplex							N	N	
L498.1	val	CLsat3	CLsat3.2	N	telomeric							satellite							N	N	
L498.2	val	CLsat1	CLsat1.1	Y	satellite							lowcomplex							N	N	
L499	val	CLsat3	CLsat3.1	Y	telomeric							lowcomplex							N	N	
L500.1	val	CLsat1	CLsat1.1	Y	lowcomplex							satellite							N	N	
L500.2	val	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L501.1	val	CLsat1	CLsat1.5	N	truncated							satellite							N	N	
L501.2	val	CLsat3	CLsat3.2	N	satellite							satellite							N	N	
L501.3	val	CLsat1	CLsat1.2	N	satellite							satellite							N	N	
L501.4	val	CLsat3	CLsat3.1	Y	satellite							lowcomplex							N	N	
L502.2	val	CLsat1	CLsat1.1	N	lowcomplex							unique	L201	nai	CLsat3	97.2	599	610.1	Y	Y	DIFFERENT
L503.1	val	CLsat1	CLsat1.1	Y	unique	L201	nai	CLsat3	96.8	527	505.9	satellite							Y	N	DIFFERENT
L503.2	val	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L504	val	CLsat3	CLsat3.1	N	lowcomplex							unique							N	N	
L505	val	CLsat3	CLsat3.1	Y	satellite							satellite							N	N	
L506.1	val	CLsat3	CLsat3.1	Y	satellite							satellite							N	N	
L506.2	val	CLsat1	CLsat1.1	Y	satellite							satellite							N	N	
L506.3	val	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L507.1	val	CLsat1	CLsat1.1	Y	truncated							satellite							N	N	
L507.2	val	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L508	val	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L509.1	val	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L509.2	val	CLsat1	CLsat1.3	N	satellite							satellite							N	N	
L509.3	val	CLsat3	CLsat3.1	Y	satellite							satellite							N	N	
L510	val	CLsat3	CLsat3.1	N	satellite							satellite							N	N	
L511	val	CLsat3	CLsat3.1	N	satellite							lowcomplex							N	N	
L512	val	CLsat3	CLsat3.2	Y	lowcomplex							lowcomplex							N	N	
L513.1	val	CLsat1	CLsat1.1	Y	unique	L15	arm	CLsat1	100.0	530	534.7	satellite							Y	N	SAME
L513.2	val	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L514.1	val	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L514.2	val	CLsat3	CLsat3.1	Y	satellite							unique	L23	arm	CLsat1	100.0	349	330.1	Y	N	DIFFERENT
L515.1	val	CLsat3	CLsat3.1	Y	telomeric							satellite							N	N	
L515.2	val	CLsat1	CLsat1.1	Y	satellite							lowcomplex							N	N	
L516.1	val	CLsat1	CLsat1.2	N	lowcomplex							satellite							N	N	
L516.2	val	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L517.1	val	CLsat3	CLsat3.1	Y	telomeric							satellite							N	N	
L517.2	val	CLsat1	CLsat1.2	Y	satellite							lowcomplex							N	N	
L518.1	val	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L518.2	val	CLsat1	CLsat1.1	N	satellite							lowcomplex							N	N	
L519.1	val	CLsat1	CLsat1.1	N	lowcomplex							satellite							N	N	
L519.2	val	CLsat3	CLsat3.2	Y	satellite							lowcomplex							N	N	
L520.1	val	CLsat1	CLsat1.1	Y	truncated							satellite							N	N	
L520.2	val	CLsat3	CLsat3.2	Y	satellite							truncated							N	N	
L521.1	val	CLsat1	CLsat1.1	N	truncated							satellite							N	N	
L521.2	val	CLsat3	CLsat3.2	Y	satellite							truncated							N	N	
L522	val	CLsat1	CLsat1.1	Y	unique							truncated							N	N	
L523.1	val	CLsat3	CLsat3.1	Y	telomeric							satellite							N	N	
L523.2	val	CLsat1	CLsat1.1	Y	satellite							truncated							N	N	
L524	val	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L525	val	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L526.2	val	CLsat3	CLsat3.1	Y	telomeric							satellite							N	N	
L526.3	val	CLsat1	CLsat1.1	Y	satellite							satellite							N	N	
L526.4	val	CLsat3	CLsat3.2	Y	satellite							truncated							N	N	
L527.1	val	CLsat3	CLsat3.1	Y	telomeric							satellite							N	N	
L527.2	val	CLsat1	CLsat1.1	Y	satellite							lowcomplex							N	N	
L528	val	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L529.1	val	CLsat1	CLsat1.1	Y	truncated							satellite							N	N	
L529.2	val	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L530.1	val	CLsat3	CLsat3.1	Y	lowcomplex							satellite							N	N	
L530.2	val	CLsat1	CLsat1.1	Y	satellite							truncated							N	N	
L531	val	CLsat1	CLsat1.2	N	truncated							lowcomplex							N	N	
L532.1	val	CLsat1	CLsat1.1	Y	truncated							satellite							N	N	
L532.2	val	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L533.1	val	CLsat1	CLsat1.1	Y	truncated							satellite							N	N	
L533.2	val	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L534	val	CLsat3	CLsat3.1	Y	telomeric							truncated							N	N	
L535	val	CLsat3	CLsat3.1	Y	telomeric							truncated							N	N	
L536.1	val	CLsat3	CLsat3.1	Y	telomeric							satellite							N	N	
L536.2	val	CLsat1	CLsat1.1	N	satellite							truncated							N	N	
L537.1	val	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L537.2	val	CLsat1	CLsat1.1	N	satellite							lowcomplex							N	N	
L538	val	CLsat3	CLsat3.1	Y	telomeric							truncated							N	N	
L539	val	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
